event_id,event_name,asset_class,requested_source,requested_symbol,source_used,symbol_used,resolution,raw_bars,signals,status,quality_note
cr-2014-mtgox,Mt.Gox collapse,crypto,cryptocompare,BTC,cryptocompare,BTC,day,78,"v, sigma, q",ok,
cr-2017-btctop,BTC parabolic top and crash,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,day,112,"v, sigma, q",ok,
cr-2017-btctop,BTC parabolic top and crash,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,minute,158970,"v, sigma, q",ok,
cr-2018-bchfork,BCH hashwar fork,crypto,binance_s3,BCHUSDT,binance-api,BCHABCUSDT,day,30,"v, sigma, q",ok,proxy_symbol_for=BCHUSDT
cr-2018-bchfork,BCH hashwar fork,crypto,binance_s3,BCHUSDT,binance-api,BCHABCUSDT,minute,42720,"v, sigma, q",ok,proxy_symbol_for=BCHUSDT
cr-2018-bchfork-sv,BCH hashwar fork (SV leg),crypto,binance_s3,BCHSVUSDT,binance-api,BCHSVUSDT,day,30,"v, sigma, q",ok,
cr-2018-bchfork-sv,BCH hashwar fork (SV leg),crypto,binance_s3,BCHSVUSDT,binance-api,BCHSVUSDT,minute,42720,"v, sigma, q",ok,
cr-2019-tether,Bitfinex/Tether disclosure,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,day,80,"v, sigma, q",ok,
cr-2019-tether,Bitfinex/Tether disclosure,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,minute,114240,"v, sigma, q",ok,
cr-2020-covid,COVID crash crypto,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,day,91,"v, sigma, q",ok,
cr-2020-covid,COVID crash crypto,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,minute,130498,"v, sigma, q",ok,
cr-2021-elonchina,Elon tweets + China mining ban,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,day,97,"v, sigma, q",ok,
cr-2021-elonchina,Elon tweets + China mining ban,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,minute,139246,"v, sigma, q",ok,
cr-2022-celsius,Celsius/3AC cascade,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,day,80,"v, sigma, q",ok,
cr-2022-celsius,Celsius/3AC cascade,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,minute,115200,"v, sigma, q",ok,
cr-2022-ftx,FTX collapse,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,day,65,"v, sigma, q",ok,
cr-2022-ftx,FTX collapse,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,minute,93600,"v, sigma, q",ok,
cr-2022-luna,LUNA/UST collapse,crypto,binance_s3,LUNAUSDT,binance-api,LUNAUSDT,day,49,"v, sigma, q",ok,
cr-2022-luna,LUNA/UST collapse,crypto,binance_s3,LUNAUSDT,binance-api,LUNAUSDT,minute,68800,"v, sigma, q",ok,
cr-2023-curve,Curve reentrancy exploit,crypto,binance_s3,CRVUSDT,binance-api,CRVUSDT,day,52,"v, sigma, q",ok,
cr-2023-curve,Curve reentrancy exploit,crypto,binance_s3,CRVUSDT,binance-api,CRVUSDT,minute,74880,"v, sigma, q",ok,
cr-2023-usdc,USDC depeg / SVB weekend,crypto,binance_s3,USDCUSDT,binance-api,BTCUSDT,day,48,"v, sigma, q",ok,proxy_symbol_for=USDCUSDT
cr-2023-usdc,USDC depeg / SVB weekend,crypto,binance_s3,USDCUSDT,binance-api,USDCUSDT,minute,13560,"v, sigma, q",ok,
cr-2024-etf,Spot ETF approval volatility,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,day,126,"v, sigma, q",ok,
cr-2024-etf,Spot ETF approval volatility,crypto,binance_s3,BTCUSDT,binance-api,BTCUSDT,minute,181440,"v, sigma, q",ok,
eq-1987-blackmon,Black Monday,equity,yahoo,^GSPC,yahoo,^GSPC,day,56,"v, sigma, q",ok,
eq-2008-lehman,Lehman week,equity,yahoo,^GSPC,yahoo,^GSPC,day,69,"v, sigma, q",ok,
